type,value,comment
domain,pdf-bazaar[.]com,"XDSpy distribution, March 2025"
domain,pdfdepozit[.]com,"XDSpy distribution, March 2025"
domain,file-bazar[.]com,"XDSpy distribution, March 2025"
domain,vashazagruzka365[.]com,"XDSpy distribution, March 2025"
domain,melodicprogress[.]com,"XDigo C2, February 2023"
domain,pechalnoyebudushcheye[.]com,"XDigo C2, July 2024"
domain,quan-miami[.]com,"XDigo C2, February 2025"
domain,sogrevayushchiynapitok[.]com,"XDigo C2, June 2025"
domain,seychaspozzhe[.]com,"Suspected XDSpy, July 2024"
domain,aoc-upravleniye[.]com,"Suspected XDSpy, March 2025"
domain,bukhgalter-x5group[.]com,"Suspected XDSpy, March 2025"
domain,bystryvelosiped[.]com,"Suspected XDSpy, March 2025"
domain,cellporyad[.]com,"Suspected XDSpy, March 2025"
domain,dversteklo[.]com,"Suspected XDSpy, March 2025"
domain,dwd765m[.]com,"Suspected XDSpy, March 2025"
domain,khoroshayamych[.]com,"Suspected XDSpy, March 2025"
domain,krasnayastena[.]com,"Suspected XDSpy, March 2025"
domain,magnitgroup[.]com,"Suspected XDSpy, March 2025"
domain,ru-pochta365[.]com,"Suspected XDSpy, March 2025"
domain,ru-sistema[.]com,"Suspected XDSpy, March 2025"
domain,temnayamashina[.]com,"Suspected XDSpy, March 2025"
domain,utrenneyesolntse[.]com,"Suspected XDSpy, March 2025"
domain,zelenyysalat[.]com,"Suspected XDSpy, March 2025"
domain,zhestovyyliker[.]com,"Suspected XDSpy, March 2025"
domain,zimniyeravlecheniya[.]com,"Suspected XDSpy, March 2025"
domain,laultrachunk[.]com,"Suspected XDSpy, April 2025"
domain,promenimath[.]com,"Suspected XDSpy, April 2025"
domain,slomannyymonitor[.]com,"Suspected XDSpy, April 2025"
domain,doverennyye-fayly[.]com,"Suspected XDSpy, May 2025"
domain,faylsklad[.]com,"Suspected XDSpy, May 2025"
domain,moy-pdf[.]com,"Suspected XDSpy, May 2025"
domain,nevynosimayapchela[.]com,"Suspected XDSpy, May 2025"
domain,pdf-reyestr[.]com,"Suspected XDSpy, May 2025"
domain,pdf-sklad[.]com,"Suspected XDSpy, May 2025"
domain,reyestr-faylov[.]com,"Suspected XDSpy, May 2025"
domain,serayagrust[.]com,"Suspected XDSpy, May 2025"
domain,protej.org.nniir[.]com,"Suspected XDSpy distribution, July 2024"
domain,nniir[.]com,"Suspected XDSpy distribution, July 2024"
domain,file-magazin[.]com,"Suspected XDSpy distribution, May 2025"
domain,pdfmagazin[.]com,"Suspected XDSpy distribution, May 2025"
domain,skachivanie-failov[.]com,"Suspected XDSpy, July 2023"
domain,chistyyvozdukh[.]com,"Suspected XDSpy, July 2024"
domain,svobodnoepredlozheniye[.]com,"Suspected XDSpy, July 2024"
domain,vash-disk[.]com,"Suspected XDSpy, July 2024 - April 2025"
domain,zagruzkadannykh[.]com,"Suspected XDSpy, July 2024"
domain,zetta-strakhovaniye[.]com,"Suspected XDSpy, July 2024"
domain,khitrayalisitsa[.]com,"Suspected XDSpy, August 2024"
domain,tvoi-fayly[.]com,"Suspected XDSpy, March 2025"
domain,kletchatayarubashka[.]com,"Suspected XDSpy, April 2025"
domain,downloading24[.]com,"Suspected XDSpy distribution, July 2022"
domain,easy-download24[.]com,"Suspected XDSpy distribution, October 2022"
domain,full-downloader[.]com,"Suspected XDSpy distribution, December 2022"
domain,skachivanie-failov24[.]com,"Suspected XDSpy distribution, April 2024"
domain,obmen-faylami[.]com,"Suspected XDSpy distribution, April 2024"
domain,tvoy-disk[.]com,"Suspected XDSpy distribution, June 2024"
domain,www.vashi-fayly[.]com,"Suspected XDSpy distribution, June 2024"
domain,zagruzkafayla[.]com,"Suspected XDSpy distribution, June 2024"
domain,faylbox365[.]com,"Suspected (high confidence) XDSpy distribution, November 2024"
domain,zagruzka-pdf[.]com,"Suspected XDSpy distribution, December 2024"
domain,moy-fayl[.]com,"Suspected XDSpy distribution, December 2024"
domain,otpravkafaylov[.]com,"Suspected XDSpy distribution, December 2024"
domain,pdfsklad[.]com,"Suspected XDSpy distribution, December 2024"

sha-256,5df1e1d67b92e2bba8641561af9967e3a54ec73600283c66b09c8165ddcb7de9,"Archive, campaign targeting Ukraine, July 2025"
sha-256,699c50014cdbe919855c25eb35b15dfc8e64f73945187da41d985a9d7be31a71,"Archive, campaign targeting Ukraine, July 2025"
sha-256,26ea842c4259c90349a1f4db92efa89ac4429a5ff380e7f72574426cfd647f1a,"Archive, campaign targeting Ukraine, June 2025"
sha-256,6e562afa3193c2ca5d2982e04de78cf83faa203534a6098ab5f08df94bbeb944,"Archive, campaign targeting Poland, May 2025"
sha-256,3fff6c8a8ef3f153ebbe6d469a0d970953358a25bb9b4955a2592626f011cbd6,"Archive, campaign targeting Poland, May 2025"
sha-256,730c1a02bb31d548d91ba23fce870b1dc53c4802ea4fcb0d293f96de670d74af,"Archive, campaign targeting Poland, April 2025"
