type,value,comment
domain,gituyahmainnya104[.]click,1st level redirector top domain
domain,gjiqoaia[.]shop,1st level redirector top domain
domain,globalchamberoc[.]org,1st level redirector top domain
domain,gold365s[.]win,1st level redirector top domain
domain,grizzly[.]dog,1st level redirector top domain
domain,handbaglife[.]online,1st level redirector top domain
domain,hatcapbag[.]com,1st level redirector top domain
domain,healthygoodlife[.]live,1st level redirector top domain
domain,hints[.]media,1st level redirector top domain
domain,homesnowcone[.]com,1st level redirector top domain
domain,hophop5[.]click,1st level redirector top domain
domain,howler56[.]click,1st level redirector top domain
domain,incomeapk[.]xyz,1st level redirector top domain
domain,indo39oke[.]lol,1st level redirector top domain
domain,infinityeight[.]ch,1st level redirector top domain
domain,investinsavvy[.]com,1st level redirector top domain
domain,ipdj[.]top,1st level redirector top domain
domain,iplscore2024[.]live,1st level redirector top domain
domain,iwantthiscar[.]info,1st level redirector top domain
domain,j9ha2b7pv[.]top,1st level redirector top domain
domain,jacketmania[.]shop,1st level redirector top domain
domain,jacketmania[.]shop-,1st level redirector top domain
domain,jagoanterbang-9[.]click,1st level redirector top domain
domain,javierkeough[.]org,1st level redirector top domain
domain,jenna-design[.]com,1st level redirector top domain
domain,jieshenplay[.]top,1st level redirector top domain
domain,joyboy61[.]shop,1st level redirector top domain
domain,junacogeneraltradinguae[.]com,1st level redirector top domain
domain,justice4us[.]biz,1st level redirector top domain
domain,katakku4d[.]online,1st level redirector top domain
domain,kejartarget27[.]click,1st level redirector top domain
domain,kejartarget57[.]click,1st level redirector top domain
domain,kin888net[.]lol,1st level redirector top domain
domain,kindreadking[.]online,1st level redirector top domain
domain,knowledgeguru83[.]com,1st level redirector top domain
domain,knowsomething[.]click,1st level redirector top domain
domain,kohen[.]website,1st level redirector top domain
domain,kosa[.]social,1st level redirector top domain
domain,lakersmenang[.]click,1st level redirector top domain
domain,language-force[.]ru,1st level redirector top domain
domain,laraibrabbani[.]net,1st level redirector top domain
domain,larissacrane[.]shop,1st level redirector top domain
domain,lawlessdenimco[.]shop,1st level redirector top domain
domain,leagendmind[.]xyz,1st level redirector top domain
domain,lewisgriggs[.]com,1st level redirector top domain
domain,lightweb-inc[.]com,1st level redirector top domain
domain,littlemonstersphotos[.]com,1st level redirector top domain
domain,livegamepro[.]org,1st level redirector top domain
domain,lkuer[.]top,1st level redirector top domain
domain,loklok35[.]shop,1st level redirector top domain
domain,marcobrivio[.]com,1st level redirector top domain
domain,mathswithmushi[.]com,1st level redirector top domain
domain,maxpay173[.]click,1st level redirector top domain
domain,mefusst[.]tech,1st level redirector top domain
domain,megabet89[.]shop,1st level redirector top domain
domain,merindaw[.]shop,1st level redirector top domain
domain,minesxp[.]online,1st level redirector top domain
domain,miniature[.]homes,1st level redirector top domain
domain,mirage5acxr37[.]click,1st level redirector top domain
domain,mlbsports[.]club,1st level redirector top domain
domain,mmeqdar[.]homes,1st level redirector top domain
domain,mmk14[.]top,1st level redirector top domain
domain,modentwrk[.]net,1st level redirector top domain
domain,mollygemoy16[.]click,1st level redirector top domain
domain,mollys[.]garden,1st level redirector top domain
domain,moneyfever[.]buzz,1st level redirector top domain
domain,moviezwap[.]today,1st level redirector top domain
domain,musuli[.]shop,1st level redirector top domain
domain,myblogreviews[.]online,1st level redirector top domain
domain,mytechtrends[.]online,1st level redirector top domain
domain,nasiputihxnasimerah[.]click,1st level redirector top domain
domain,news-hive[.]online,1st level redirector top domain
domain,news24mp[.]com,1st level redirector top domain
domain,newtrendsboutique[.]com,1st level redirector top domain
domain,ngd2xqivb[.]top,1st level redirector top domain
domain,nicegame113[.]click,1st level redirector top domain
domain,ninoarbasetti[.]com,1st level redirector top domain
domain,nteh7[.]top,1st level redirector top domain
domain,num386113[.]top,1st level redirector top domain
domain,o6ngt[.]top,1st level redirector top domain
domain,oaini[.]store,1st level redirector top domain
domain,odbsa[.]com,1st level redirector top domain
domain,odpkg[.]shop,1st level redirector top domain
domain,ordinarypunks[.]com,1st level redirector top domain
domain,packpranks[.]online,1st level redirector top domain
domain,paodavida[.]church,1st level redirector top domain
domain,pecahbet[.]site,1st level redirector top domain
domain,pefecetemoney[.]xyz,1st level redirector top domain
domain,penembakjitu81[.]click,1st level redirector top domain
domain,pergipulangpagi[.]click,1st level redirector top domain
domain,personalinjurycar[.]com,1st level redirector top domain
domain,pg3f[.]top,1st level redirector top domain
domain,placeholderdomain[.]link,1st level redirector top domain
domain,plotspot[.]shop,1st level redirector top domain
domain,positivebodyfit[.]com,1st level redirector top domain
domain,premiumslimminggummies[.]shop,1st level redirector top domain
domain,princepannu[.]com,1st level redirector top domain
domain,professionalattitude[.]click,1st level redirector top domain
domain,progambler[.]buzz,1st level redirector top domain
domain,prokeysuk[.]shop,1st level redirector top domain
domain,pronailscomplex[.]online,1st level redirector top domain
domain,protraveler[.]world,1st level redirector top domain
domain,purepurchase[.]shop,1st level redirector top domain
domain,puzzledplay60[.]shop,1st level redirector top domain
domain,pvbartending[.]com,1st level redirector top domain
domain,q1s3873jl[.]top,1st level redirector top domain
domain,q6hd[.]top,1st level redirector top domain
domain,qisoaip[.]shop,1st level redirector top domain
domain,ql9uk[.]top,1st level redirector top domain
domain,re-china[.]com,1st level redirector top domain
domain,redbanknow[.]info,1st level redirector top domain
domain,renzkaliloalio34[.]click,1st level redirector top domain
domain,rh899main[.]biz,1st level redirector top domain
domain,rolunicotributario[.]life,1st level redirector top domain
domain,rrirxh618[.]top,1st level redirector top domain
domain,rsvd[.]top,1st level redirector top domain
domain,rtp-mana777[.]com,1st level redirector top domain
domain,rtpgora68[.]online,1st level redirector top domain
domain,rushroll[.]shop,1st level redirector top domain
domain,safe-pharma[.]com,1st level redirector top domain
domain,santaslotjp[.]net,1st level redirector top domain
domain,sayasukajepe12[.]click,1st level redirector top domain
domain,seaux9[.]com,1st level redirector top domain
domain,selalubegitu[.]click,1st level redirector top domain
domain,semanismadu48[.]click,1st level redirector top domain
domain,semanismadu56[.]click,1st level redirector top domain
domain,sepengujungan[.]click,1st level redirector top domain
domain,servergacor20[.]click,1st level redirector top domain
domain,shakeologybigbag[.]store,1st level redirector top domain
domain,shanhuo[.]site,1st level redirector top domain
domain,shark4k[.]shop,1st level redirector top domain
domain,shfue[.]shop,1st level redirector top domain
domain,showthatsauce[.]co[.]uk,1st level redirector top domain
domain,shrabanicreative[.]xyz,1st level redirector top domain
domain,signatureartworld[.]com,1st level redirector top domain
domain,sihpalingdewa07[.]click,1st level redirector top domain
domain,sillonesluberto[.]com,1st level redirector top domain
domain,sin88[.]yoga,1st level redirector top domain
domain,skqoa[.]shop,1st level redirector top domain
domain,slestimatego[.]quest,1st level redirector top domain
domain,sociogrowth[.]com,1st level redirector top domain
domain,sorcellerie-magie-noire[.]com,1st level redirector top domain
domain,starprince-light14[.]click,1st level redirector top domain
domain,stockingmypantry[.]top,1st level redirector top domain
domain,streamflex[.]shop,1st level redirector top domain
domain,streetsoccer-school[.]com,1st level redirector top domain
domain,stuartparry[.]uk,1st level redirector top domain
domain,study-company[.]biz,1st level redirector top domain
domain,superfollowers[.]uk,1st level redirector top domain
domain,swiftluxemarket[.]com,1st level redirector top domain
domain,takperlupenganti[.]click,1st level redirector top domain
domain,tech-value[.]online,1st level redirector top domain
domain,techsaferz[.]com,1st level redirector top domain
domain,tengnangkia114[.]click,1st level redirector top domain
domain,texansmart[.]com,1st level redirector top domain
domain,tgfhairsalon[.]shop,1st level redirector top domain
domain,thea1techservice[.]com,1st level redirector top domain
domain,thebaitlounge[.]com,1st level redirector top domain
domain,thedigitalmarketing[.]live,1st level redirector top domain
domain,thesachinvaishya[.]xyz,1st level redirector top domain
domain,thienthienpucethao[.]click,1st level redirector top domain
domain,todayjob[.]store,1st level redirector top domain
domain,tolate[.]click,1st level redirector top domain
domain,topcaijing[.]shop,1st level redirector top domain
domain,travelusaexperts[.]link,1st level redirector top domain
domain,treasurebesar[.]click,1st level redirector top domain
domain,trhab[.]top,1st level redirector top domain
domain,tuakaohia2[.]click,1st level redirector top domain
domain,tukulhebat7[.]click,1st level redirector top domain
domain,tutinlen[.]store,1st level redirector top domain
domain,tvmountsallhd[.]online,1st level redirector top domain
domain,tx99goo2o[.]top,1st level redirector top domain
domain,u-adobe[.]shop,1st level redirector top domain
domain,unchaayi[.]com,1st level redirector top domain
domain,unidadedivina[.]org,1st level redirector top domain
domain,unixcom[.]tech,1st level redirector top domain
domain,us-en-livpure[.]com,1st level redirector top domain
domain,vcsoftware[.]shop,1st level redirector top domain
domain,viopenfs[.]click,1st level redirector top domain
domain,visitanytime[.]online,1st level redirector top domain
domain,visitingkw[.]com,1st level redirector top domain
domain,vitalitytotaloffers[.]website,1st level redirector top domain
domain,vmbjf[.]shop,1st level redirector top domain
domain,vrundadigitalmarketing[.]online,1st level redirector top domain
domain,vumato[.]store,1st level redirector top domain
domain,wheretrip[.]today,1st level redirector top domain
domain,wonders28[.]click,1st level redirector top domain
domain,woodworkingz247[.]store,1st level redirector top domain
domain,wszystko[.]space,1st level redirector top domain
domain,xjan[.]top,1st level redirector top domain
domain,yamadeko187[.]click,1st level redirector top domain
domain,yourhappytour[.]online,1st level redirector top domain
domain,yourterif[.]com,1st level redirector top domain
domain,ys012[.]top,1st level redirector top domain
domain,zd0xnb5mp[.]top,1st level redirector top domain
domain,ztnty[.]click,1st level redirector top domain
domain,zzih73zmi[.]top,1st level redirector top domain
domain,06hue1c29p[.]top,2nd level redirector top domain
domain,1sunwin[.]top,2nd level redirector top domain
domain,2ir841s4y[.]top,2nd level redirector top domain
domain,3jxc4mewe[.]top,2nd level redirector top domain
domain,accgamegraphic[.]com,2nd level redirector top domain
domain,adelalbassam[.]com,2nd level redirector top domain
