type,value,comment
sha-256,9b49d6640f5f0f1d68f649252a96052f1d2e0822feadd7ebe3ab6a3cadd75985,"Atera Agent"
sha-256,5d7eb6c36d261adeef1a59bde9eb965f5d8d7f56a2e607da913e782167ba6cb6,"Atera Agent"
sha-256,14c270cf53a50867e42120250abca863675d37abf39d60689e58288a9e870144,"Atera Agent, Tejasnetworks.com.webinar.msi"
sha-256,638c7a4f833dc95dbab5f0a81ef03b7d83704e30b5cdc630702475cc9fff86a2,"Atera Agent, Polaristek.msi"
sha-256,dd2675e2f6835f8a8a0e65e9dbc763ca9229b55af7d212da38b949051ae296a5,"Atera Agent, karel.com.tr.telekomünikasyonWebsemineri.msi / comviva.com.webinar.msi"
sha-256,165a80f6856487b3b4f41225ac60eed99c3d603f5a35febab8235757a273d1fd,"Atera Agent, setup_aleh_aleh.msi"
sha-256,d22fd0cdd6ace24e117d7330e9996a2809c2c2cb280b12f9ea43c484d2bfcfd4,"Atera Agent, setup_aleh_aleh (1).msi"
sha-256,f9c1a117de8519060a3bf189e72277e895345b8fece73fc0d750946c7f288367,"Atera Agent, BLUMENTAL.WEBINAR.msi"
sha-256,2722e289767ae391e3c3773b8640a8b9f6eb24c6a9d6e541f29c8765f7a8944b,"Atera Agent, IronSword.msi"
sha-256,ffbe988fd797cbb9a1eedb705cf00ebc8277cdbd9a21b6efb40a8bc22c7a43f0,"Atera Agent"
sha-256,2ae6c5c2b71361f71ded4ad90bbf6ef0b0f4778caf54078c928e2017302fbe69,"Atera Agent"
sha-256,c6128f222f844e699760e32695d405bd5931635ec38ae50eddc17a0976ccefb4,"Atera Agent, מילגה.msi"
sha-256,ff2ae62ba88e7068fa142bbe67d7b9398e8ae737a43cf36ace1fcf809776c909,"Atera Agent, תוכנת תיירות.msi"
sha-256,c2f95299d8aa912e1b753f3f0780a00ea6e8b5dab0245d77fcf3b6499677c328,"Atera Agent, Leonardo Hotels-tourism software.msi"
sha-256,e89f48a7351c01cbf2f8e31c65a67f76a5ead689bb11e9d4918090a165d4425f,"Atera Agent, Salary.msi"
sha-256,326dd85d76d33f3f04cbe7eef6d10ea73f800c84bfc3ed6f3963403c981bbb6e,"Atera Agent, virtual-library.msi"
sha-256,ec553e14b84ccca9b84e96a9ed19188a1ba5f4bf1ca278ab88f928f0b00b9bd0,"Atera Agent"
sha-256,09e09503962a2a8022859e72b86ad8c69dcbf79839b71897c0bf8a4c4b9f4dd6,"Atera Agent, digitalform.msi"
sha-256,fb58c54a6d0ed24e85b213f0c487f8df05e421d7b07bd2bece3a925a855be93a,"Atera Agent, תכנית מועצת מחוז גולן.msi"
sha-256,4b41b605ffc0e31bd9d460d5a296ac6e8cfd56a215dc131e90ec2654f0ffe31b,"Malicious Zip archive, karel.com.tr.telekomünikasyonWebsemineri.zip"
sha-256,85103955e35a1355ce68a92eaedd8f9376de1927d95bf12657b348dea6a8077b,"Malicious Zip archive, Tejasnetworks.com.webinar.zip"
sha-256,bab601635aafeae5fbfe1c1f7204de17b189b345efd91c46001f6d83efbb3c5a,"Malicious Zip archive, comviva.com.webinar.zip"
sha-256,900d08037d303d9b3d4a855e1a97d1f9283c28fe279e67eefe9997f856eeb439,"Malicious Zip archive"
sha-256,cc8be1d525853403f6cfabcf0fc3bd0ca398ece559388102a7fc55e9f3aa9b33,"Malicious Zip archive"
sha-256,7daab239271e088f04cae95627cc0066f48a1b178a1ff60b1140aa729126e928,"Malicious Zip archive, Leonardo Hotels-tourism software.zip"
sha-256,cc4cc20b558096855c5d492f7a79b160a809355798be2b824525c98964450492,"Malicious Zip archive, Salary.zip"
sha-256,31591fcf677a2da2834d2cc99a00ab500918b53900318f6b19ea708eba2b38ab,"Malicious Zip archive, תכנית מועצת מחוז גולן.zip"
sha-256,f17f6866f4748e6e762752062acdf983d3b083371db83503686b91512b9bcae3,"Malicious Zip archive, digitalform.zip"
sha-256,7e6a5e32596b99f45ea9099a14507a82c10a460c56585499d7cd640f2625567f,"Malicious Zip archive, Polaristek.zip"
sha-256,fb02e97d52a00fca1580ca71ed152dd28dd5ae28ab0a9c8e7b32cebd7f1998a1,"Malicious Zip archive, מילגה.zip"
url,https://v2uploads.zopim[.]io/2/u/K/2uKM8Mhn4WHvqm9pjHrjaogyOYub9ouO/892fedae59b274ca24916de33650d318168ce335.zip,"Atera Agent Distribution"
url,https://v2uploads.zopim[.]io/2/u/K/2uKM8Mhn4WHvqm9pjHrjaogyOYub9ouO/064eab6bff1b47eb92cbf1ed35f57098e5e686b2.msi,"Atera Agent Distribution"
url,https://ln5.sync[.]com/dl/cc84c9a40/grefpuhc-p9kmxpkx-kw6waakz-e8xp8atm,"Atera Agent Distribution"
url,https://filetransfer[.]io/data-package/tuMe19fV/download,"Atera Agent Distribution"
url,https://freeupload[.]store/rALE7/wIHItUcE08.msi/download,"Atera Agent Distribution"
url,https://ws.onehub[.]com/files/x68hqy91,"Atera Agent Distribution"
url,https://megolan.egnyte[.]com/,"Atera Agent Distribution"
url,https://kinneretacil.egnyte[.]com/,"Atera Agent Distribution"
url,https://rimonnet.egnyte[.]com/,"Atera Agent Distribution"
url,https://ws.onehub[.]com/files/x68hqy91,"Atera Agent Distribution"
