type,value,comment
sha-256,4b71f745707832671067c4d534b486840565ba2cda04e7daf2e2ac1324ff3db8,Malicious Web page HTML file
sha-256,12a6ed6b24b77eaad892d7484ba3f150e0d3b3007d78d142dc407158ef77c107,Malicious Web page HTML file
sha-256,628bc9f4aa71a015ec415d5d7d8cb168359886a231e17ecac2e5664760ee8eba,Malicious Web page HTML file
sha-256,9959c04723b51190536d1cd149083d3719488baa8f5dfcfa00fad8def003c8ef,Malicious Web page HTML file
sha-256,516591eda6636ac1852ebac4b9b68e2a14d37e419d71f1697c34b55ee4d18bb4,Malicious Web page HTML file
sha-256,516970af209f517b312317b69f2091583fb631422fa0efc2f7cc3b1bfaf4bbf0,Malicious Web page HTML file
sha-256,2328921cd1ec88aa3dec45c3367782b7760f6a7aa615b15feaad2e34e206e2f0,Malicious Web page HTML file
sha-256,19d0c55ac466e4188c4370e204808ca0bc02bba480ec641da8190cb8aee92bdc,Malicious LNK
sha-256,593583b312bf48b7748f4372e6f4a560fd38e969399cf2a96798e2594a517bf4,Malicious LNK
sha-256,1b598c7c35f00d2c940dfd3745bd9e5d036df781d391b8f3603a2969c666761b,Malicious LNK
sha-256,d84c39579e61c406380f37da7c2a6758ed9a4c9a0e7697c073e2ddbb563360cd,Malicious LNK
sha-256,2d844afe1a9f5c59ca96d2ab738ef43aec2391c8a37107d496d1d6cf260cede8,Malicious LNK
sha-256,c22868930c02f2d6962167198fde0d3cda78ac18af506b57f1ca25ca5c39c50d,Malicious LNK
sha-256,18f891a3737bb53cd1ab451e2140654a376a43b2d75f6695f3133d47a41952b6,MASEPIE
sha-256,0429bdc6a302b4288aea1b1e2f2a7545731c50d647672fa65b012b2a2caa386e,MASEPIE
sha-256,a333243927bb6956dc051ecea5f91b26a6c233b8164fafb9202e1f1e70ce045f,MASEPIE
sha-256,24fd571600dcc00bf2bb8577c7e4fd67275f7d19d852b909395bebcbb1274e04,OCEANMAP
sha-256,fe00bd6fba209a347acf296887b10d2574c426fa962b6d4d94c34b384d15f0f1,OCEANMAP
sha-256,b61e0f68772f3557024325f3a05e4edb940dbbe380af00f3bdaaaeabda308e72,OCEANMAP
sha-256,c8b6291fc7b6339d545cbfa99256e26de26fff5f928fef5157999d121fe46135,OCEANMAP
sha-256,50b000a7d61885591ba4ec9df1a0a223dbceb1ac2facafcef3d65c8cbbd64d46,OCEANMAP
sha-256,3384a9ef3438bf5ec89f268000cc7c83f15e3cdf746d6a93945add300423f756,OCEANMAP
sha-256,abf0c2538b2f9d38c98b422ea149983ca95819aa6ebdac97eae777ea8ba4ca8c,OCEANMAP
sha-256,faf8db358e5d3dbe2eb9968d8b19f595f45991d938427124161f5ed45ac958d5,OCEANMAP
sha-256,4c1b8d070885e92d61b72dc9424d9b260046f83daf00d93d3121df9ed669a5f9,OCEANMAP
sha-256,770206424b8def9f6817991e9a5e88dc5bee0adb54fc7ec470b53c847154c22b,OCEANMAP
sha-256,6fb2facdb906fc647ab96135ce2ca7434476fb4f87c097b83fd1dd4e045d4e47,OCEANMAP
filename,mod.search-ms,WebDAV-hosted search-ms filename
filename,info-mod.search-ms,WebDAV-hosted search-ms filename
filename,vinnic.search-ms,WebDAV-hosted search-ms filename
filename,calendar.search-ms,WebDAV-hosted search-ms filename
filename,wody.search-ms,WebDAV-hosted search-ms filename
filename,pol.search-ms,WebDAV-hosted search-ms filename
hostname,e-nas.firstcloudit[.]com,Malicious Web page hostname
hostname,nas-files.firstcloudit[.]com,Malicious Web page hostname
hostname,ua-calendar.firstcloudit[.]com,Malicious Web page hostname
hostname,e-mod.firstcloudit[.]com,Malicious Web page hostname
hostname,wody-info-files.firstcloudit[.]com,Malicious Web page hostname
hostname,info-mod.firstcloudit[.]com,Malicious Web page hostname
hostname,e-wody.firstcloudit[.]com,Malicious Web page hostname
hostname,czyrqdnvpujmmjkfhhvs4knf1av02demj.oast[.]fun,Interactsh hostname
hostname,czyrqdnvpujmmjkfhhvsvlaax17vd5r6v.oast[.]fun,Interactsh hostname
hostname,czyrqdnvpujmmjkfhhvsclx05sfi23bfr.oast[.]fun,Interactsh hostname
hostname,czyrqdnvpujmmjkfhhvsqslblw0mawilr.oast[.]fun,Interactsh hostname
hostname,czyrqdnvpujmmjkfhhvseabz1q5olrum5.oast[.]fun,Interactsh hostname
hostname,czyrqdnvpujmmjkfhhvs9647ioh30wxvd.oast[.]fun,Interactsh hostname
hostname,czyrqdnvpujmmjkfhhvs2x9oyfsn6gd7t.oast[.]fun,Interactsh hostname
hostname,czyrqdnvpujmmjkfhhvsqfxkqz68qzjcd.oast[.]fun,Interactsh hostname
hostname,cn5n8a92vtc00004a0t0gks3tbcyyyyyd.oast[.]fun,Interactsh hostname
ip,194.126.178[.]8,WebDAV stager + MASEPIE C2 server (legitimate compromised)
ip,124.168.91[.]178,WebDAV stager (legitimate compromised)
ip,159.196.128[.]120,MASEPIE C2 server (legitimate compromised)
ip,172.114.170[.]18,MASEPIE C2 server (legitimate compromised)
ip,61.68.76[.]111,IP address of possibly associated suspicious infrastructure (from May 2023 to January 2024)
ip,203.221.195[.]80,IP address of possibly associated suspicious infrastructure (from May 2023 to January 2024)
ip,12.171.204[.]129,IP address of possibly associated suspicious infrastructure (from May 2023 to January 2024)
ip,12.94.8[.]230,IP addresses of possibly associated suspicious infrastructure (from May 2023 to January 2024)
ip,23.24.68[.]109,IP addresses of possibly associated suspicious infrastructure (from May 2023 to January 2024)
ip,1.164.20[.]34,IP address exposing backdoored OpenSSH services (January 2024)
ip,1.33.250[.]101,IP address exposing backdoored OpenSSH services (January 2024)
ip,1.42.149[.]187,IP address exposing backdoored OpenSSH services (January 2024)
ip,1.64.230[.]228,IP address exposing backdoored OpenSSH services (January 2024)
ip,100.1.152[.]82,IP address exposing backdoored OpenSSH services (January 2024)
ip,100.1.26[.]109,IP address exposing backdoored OpenSSH services (January 2024)
ip,100.6.20[.]57,IP address exposing backdoored OpenSSH services (January 2024)
ip,101.100.142[.]245,IP address exposing backdoored OpenSSH services (January 2024)
ip,101.100.168[.]113,IP address exposing backdoored OpenSSH services (January 2024)
ip,101.191.131[.]63,IP address exposing backdoored OpenSSH services (January 2024)
ip,101.224.208[.]127,IP address exposing backdoored OpenSSH services (January 2024)
ip,101.224.208[.]187,IP address exposing backdoored OpenSSH services (January 2024)
ip,101.255.119[.]74,IP address exposing backdoored OpenSSH services (January 2024)
ip,101.255.140[.]74,IP address exposing backdoored OpenSSH services (January 2024)
ip,101.255.148[.]122,IP address exposing backdoored OpenSSH services (January 2024)
ip,101.255.149[.]142,IP address exposing backdoored OpenSSH services (January 2024)
ip,101.255.167[.]154,IP address exposing backdoored OpenSSH services (January 2024)
ip,101.255.208[.]58,IP address exposing backdoored OpenSSH services (January 2024)
ip,102.141.116[.]39,IP address exposing backdoored OpenSSH services (January 2024)
ip,102.223.154[.]177,IP address exposing backdoored OpenSSH services (January 2024)
ip,103.124.160[.]46,IP address exposing backdoored OpenSSH services (January 2024)
ip,103.142.109[.]139,IP address exposing backdoored OpenSSH services (January 2024)
ip,103.142.30[.]194,IP address exposing backdoored OpenSSH services (January 2024)
ip,103.15.74[.]40,IP address exposing backdoored OpenSSH services (January 2024)
ip,103.173.32[.]69,IP address exposing backdoored OpenSSH services (January 2024)
ip,103.174.49[.]15,IP address exposing backdoored OpenSSH services (January 2024)
ip,103.224.166[.]239,IP address exposing backdoored OpenSSH services (January 2024)
ip,103.224.167[.]129,IP address exposing backdoored OpenSSH services (January 2024)
ip,103.224.167[.]99,IP address exposing backdoored OpenSSH services (January 2024)
ip,103.239.171[.]59,IP address exposing backdoored OpenSSH services (January 2024)
ip,103.26.221[.]170,IP address exposing backdoored OpenSSH services (January 2024)
ip,103.27.118[.]146,IP address exposing backdoored OpenSSH services (January 2024)
ip,103.29.57[.]225,IP address exposing backdoored OpenSSH services (January 2024)
ip,103.29.57[.]246,IP address exposing backdoored OpenSSH services (January 2024)
ip,103.4.154[.]142,IP address exposing backdoored OpenSSH services (January 2024)
ip,103.4.196[.]154,IP address exposing backdoored OpenSSH services (January 2024)
ip,103.4.199[.]202,IP address exposing backdoored OpenSSH services (January 2024)
ip,103.85.38[.]166,IP address exposing backdoored OpenSSH services (January 2024)
ip,104.139.84[.]159,IP address exposing backdoored OpenSSH services (January 2024)
ip,104.167.226[.]1,IP address exposing backdoored OpenSSH services (January 2024)
ip,104.167.226[.]32,IP address exposing backdoored OpenSSH services (January 2024)
ip,104.167.226[.]42,IP address exposing backdoored OpenSSH services (January 2024)
ip,104.167.226[.]52,IP address exposing backdoored OpenSSH services (January 2024)
ip,104.167.226[.]62,IP address exposing backdoored OpenSSH services (January 2024)
ip,104.167.226[.]72,IP address exposing backdoored OpenSSH services (January 2024)
ip,104.171.242[.]186,IP address exposing backdoored OpenSSH services (January 2024)
ip,104.192.230[.]131,IP address exposing backdoored OpenSSH services (January 2024)
ip,104.202.212[.]96,IP address exposing backdoored OpenSSH services (January 2024)
ip,104.232.55[.]59,IP address exposing backdoored OpenSSH services (January 2024)
ip,104.35.92[.]237,IP address exposing backdoored OpenSSH services (January 2024)
ip,105.186.84[.]245,IP address exposing backdoored OpenSSH services (January 2024)
ip,107.185.67[.]194,IP address exposing backdoored OpenSSH services (January 2024)
ip,107.201.164[.]140,IP address exposing backdoored OpenSSH services (January 2024)
ip,107.5.227[.]211,IP address exposing backdoored OpenSSH services (January 2024)
ip,108.175.113[.]93,IP address exposing backdoored OpenSSH services (January 2024)
ip,108.184.80[.]181,IP address exposing backdoored OpenSSH services (January 2024)
ip,108.2.193[.]27,IP address exposing backdoored OpenSSH services (January 2024)
ip,108.247.118[.]63,IP address exposing backdoored OpenSSH services (January 2024)
ip,108.83.188[.]164,IP address exposing backdoored OpenSSH services (January 2024)
ip,108.93.34[.]249,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.103.112[.]41,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.124.248[.]140,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.130.98[.]248,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.133.254[.]228,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.135.47[.]5,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.155.130[.]228,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.156.103[.]241,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.167.166[.]76,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.168.145[.]80,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.173.63[.]0,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.176.231[.]102,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.176.232[.]93,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.190.113[.]166,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.190.128[.]130,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.190.128[.]40,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.190.129[.]117,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.190.129[.]166,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.190.129[.]253,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.190.129[.]97,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.190.130[.]1,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.190.130[.]126,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.190.130[.]252,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.190.130[.]64,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.190.131[.]106,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.190.131[.]253,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.190.132[.]11,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.190.132[.]144,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.190.132[.]157,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.190.132[.]19,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.190.132[.]213,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.190.133[.]106,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.190.133[.]109,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.190.133[.]31,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.190.133[.]90,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.190.134[.]130,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.190.216[.]229,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.190.217[.]212,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.190.218[.]198,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.190.218[.]80,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.190.27[.]228,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.190.41[.]135,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.194.174[.]104,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.196.119[.]81,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.197.217[.]124,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.213.146[.]249,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.213.173[.]240,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.213.21[.]2,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.213.210[.]105,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.213.61[.]39,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.213.65[.]238,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.218.147[.]4,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.218.16[.]61,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.219.196[.]247,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.94.105[.]13,IP address exposing backdoored OpenSSH services (January 2024)
ip,109.94.17[.]124,IP address exposing backdoored OpenSSH services (January 2024)
ip,111.193.233[.]4,IP address exposing backdoored OpenSSH services (January 2024)
ip,111.23.69[.]167,IP address exposing backdoored OpenSSH services (January 2024)
ip,111.252.94[.]5,IP address exposing backdoored OpenSSH services (January 2024)
ip,112.165.59[.]121,IP address exposing backdoored OpenSSH services (January 2024)
ip,113.128.229[.]114,IP address exposing backdoored OpenSSH services (January 2024)
ip,113.160.249[.]46,IP address exposing backdoored OpenSSH services (January 2024)
ip,113.161.150[.]240,IP address exposing backdoored OpenSSH services (January 2024)
ip,113.161.72[.]152,IP address exposing backdoored OpenSSH services (January 2024)
ip,113.169.167[.]35,IP address exposing backdoored OpenSSH services (January 2024)
ip,113.190.233[.]41,IP address exposing backdoored OpenSSH services (January 2024)
ip,113.205.124[.]203,IP address exposing backdoored OpenSSH services (January 2024)
ip,113.212.92[.]110,IP address exposing backdoored OpenSSH services (January 2024)
ip,113.22.239[.]74,IP address exposing backdoored OpenSSH services (January 2024)
ip,114.156.89[.]238,IP address exposing backdoored OpenSSH services (January 2024)
ip,114.23.93[.]199,IP address exposing backdoored OpenSSH services (January 2024)
ip,114.32.108[.]55,IP address exposing backdoored OpenSSH services (January 2024)
ip,114.34.50[.]30,IP address exposing backdoored OpenSSH services (January 2024)
ip,114.83.25[.]98,IP address exposing backdoored OpenSSH services (January 2024)
ip,115.133.12[.]217,IP address exposing backdoored OpenSSH services (January 2024)
ip,115.216.48[.]40,IP address exposing backdoored OpenSSH services (January 2024)
ip,115.54.181[.]132,IP address exposing backdoored OpenSSH services (January 2024)
ip,115.65.127[.]129,IP address exposing backdoored OpenSSH services (January 2024)
ip,115.70.85[.]49,IP address exposing backdoored OpenSSH services (January 2024)
ip,115.75.190[.]18,IP address exposing backdoored OpenSSH services (January 2024)
ip,115.75.96[.]125,IP address exposing backdoored OpenSSH services (January 2024)
ip,115.76.174[.]113,IP address exposing backdoored OpenSSH services (January 2024)
ip,115.78.135[.]96,IP address exposing backdoored OpenSSH services (January 2024)
ip,115.78.14[.]240,IP address exposing backdoored OpenSSH services (January 2024)
ip,115.79.43[.]208,IP address exposing backdoored OpenSSH services (January 2024)
ip,116.108.148[.]72,IP address exposing backdoored OpenSSH services (January 2024)
ip,116.109.82[.]138,IP address exposing backdoored OpenSSH services (January 2024)
ip,116.118.62[.]187,IP address exposing backdoored OpenSSH services (January 2024)
ip,116.237.129[.]224,IP address exposing backdoored OpenSSH services (January 2024)
ip,116.237.136[.]138,IP address exposing backdoored OpenSSH services (January 2024)
ip,116.50.247[.]190,IP address exposing backdoored OpenSSH services (January 2024)
ip,116.88.210[.]158,IP address exposing backdoored OpenSSH services (January 2024)
ip,116.99.78[.]237,IP address exposing backdoored OpenSSH services (January 2024)
ip,117.103.88[.]15,IP address exposing backdoored OpenSSH services (January 2024)
ip,117.103.88[.]201,IP address exposing backdoored OpenSSH services (January 2024)
ip,117.103.88[.]235,IP address exposing backdoored OpenSSH services (January 2024)
ip,117.103.90[.]2,IP address exposing backdoored OpenSSH services (January 2024)
ip,117.103.93[.]2,IP address exposing backdoored OpenSSH services (January 2024)
ip,117.103.94[.]1,IP address exposing backdoored OpenSSH services (January 2024)
