type,value,comment
sha-256,0cec5ca5d2fe9616a275b54ca37f45248e1ed6e15f627d6bffb566ffd6295208,"PteroLNK VBScript, ~.drv"
sha-256,913e2001d1b13711728ff63fa44b720e5a6d464a68be2e3e72a091bd6c245de1,"PteroLNK VBScript, ~.drv"
sha-256,d0b6e053a967db89cd6492beb5202be67b7fd7be8f7eb1d60905310a4bfb9ea8,"PteroLNK VBScript, ~.drv"
sha-256,1bd6df231f94053b33ae6becb9e49894236a123b82e62eaedf566e8d2572e018,"PteroLNK VBScript, ~.drv"
sha-256,1c32b8ee9442e7e6d0e2e61fb15d3beea9db2fe77d2f70b38ce05eab7c6933f6,"PteroLNK VBScript, ~.drv"
sha-256,5062ca28db713d36e2523f0a041ccde2ea563e3d20c436197e8d33ec3025f3be,"PteroLNK VBScript, ~.drv"
sha-256,28166ea98915ce5c07108bae1ae116d7eeab3fceb64d9564dd2d483cdc2c5e1c,"PteroLNK VBScript, ~.drv"
sha-256,d5538812b9a41b90fb9e7d83f2970f947b1e92cb68085e6d896b97ce8ebff705,"PteroLNK VBScript, ~.drv"
sha-256,582075b7d84fd7233359ede009ae5ccd9c05d06087e4eebf2fcde86286a67938,"PteroLNK VBScript, ~.drv"
sha-256,ab7b9e5025b9095a4fcf76dfa5becc12bd219de84bd2a300371cc303af4463f4,"PteroLNK VBScript, ~.drv"
filepath,%PUBLIC%\NTUSER.DAT.TMContainer00000000000000000001.regtrans-ms,"PteroLNK downloader payload"
filepath,%PUBLIC%\NTUSER.DAT.TMContainer00000000000000000002.regtrans-ms,"PteroLNK LNK dropeer payload"
filepath,%PUBLIC%\NTUSER.DAT.TMContainer,"PteroLNK VBScript"
filepath,%APPDATA%\~.drv,"PteroLNK VBScript"
domain,tienes[.]ru,"Gamaredon C2"
domain,mahombres[.]ru,"Gamaredon C2"
domain,kimiga[.]ru,"Gamaredon C2"
domain,areyouall[.]ru,"Gamaredon C2"
domain,nandayo[.]ru,"Gamaredon C2"
hostname,des-cinema-democrat-san.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,satin-adams-writings-idol.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,such-bad-magnet-dealer.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,chaos-forces-bears-sent.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,cups-technologies-knock-posts.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,cables-encounter-chem-stranger.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,asset-advised-jane-disc.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,recreational-bosnia-granny-interventions.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,governmental-rocket-hourly-blair.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,silence-modems-france-fact.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,extend-terrorism-nowhere-two.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,taking-hl-kerry-pet.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,horizon-fee-calendar-seek.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,rows-slideshow-toll-dsl.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,blowing-traveling-looks-appropriations.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,making-toys-sn-kijiji.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,checklist-digital-proved-labels.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,im-trend-naturally-administrator.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,dressed-emissions-councils-storage.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,sand-northeast-consumers-sells.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,architect-reverse-poster-failed.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,mailed-this-chemical-thermal.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,adjustable-za-creativity-copper.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,amenities-minus-judges-clearly.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,zambia-relate-highlights-tasks.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,adventures-worked-exposure-maui.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,asks-ribbon-nearest-traveler.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,relax-spas-miss-feeling.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,sized-professionals-expertise-reveals.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,sat-mapping-metadata-instrumentation.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,dimensions-incorporated-citysearch-quotes.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,funky-honduras-drives-statutory.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,outputs-sam-come-bosnia.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,efficiently-noble-pubs-armed.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,place-experiencing-teen-kitty.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,cat-pop-injuries-gallery.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,compact-egypt-meal-imagination.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,stockholm-align-closed-far.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,cope-senator-european-texas.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,playstation-look-became-circles.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,fixtures-bracelet-anatomy-jon.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,engineering-moreover-packages-shareholders.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,applicant-approx-vatican-senators.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,wallpaper-duplicate-agents-exports.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,advisors-commission-burn-valuation.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,wto-ls-stocks-pie.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,forces-details-round-gates.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,spectrum-maldives-literally-garcia.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,performances-look-humidity-pie.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,unlike-processes-saskatchewan-prepared.trycloudflare[.]com,"Cloudflare quick tunnel"
url,hxxps://telegra[.]ph/Vizit-12-28,"Dead drop resolver"
url,hxxps://telegra[.]ph/Post-12-20-7,"Dead drop resolver (inactive)"
url,hxxps://graph[.]org/LifeNews-02-20,"Dead drop resolver"
url,hxxps://telegra[.]ph/VectorsWar-03-06,"Dead drop resolver"
url,hxxps://telegra[.]ph/mark-01-20-5,"Dead drop resolver"
url,hxxps://telegra[.]ph/Leons-01-13,"Dead drop resolver (inactive)"
url,hxxps://telegra[.]ph/Kasiopeya-01-09,"Dead drop resolver (inactive)"
url,hxxps://teletype[.]in/@dc1/p9G48lhQVjw ,"Dead drop resolver (inactive)"
url,hxxps://teletype[.]in/@din3/VByOMkbbyIt,"Dead drop resolver"
url,hxxps://teletype[.]in/@mew31/y4JyD2Rpb41,"Dead drop resolver"
url,hxxps://telegra[.]ph/Simphoniya-03-07,"Possibly associated URL, Possibly an inactive dead drop resolver"
other,\Windows\DeviceDirectoryClient\RegisterUserDevice,"Scheduled task, PteroLNK downloader payload"
other,\Windows\DeviceDirectoryClient\RegisterDeviceConnectedToNetwork,"Scheduled task, PteroLNK LNK dropper payload"
other,HKEY_CURRENT_USER\Console\WindowsUpdates,"Registry key, C2 registry key"
other,HKEY_CURRENT_USER\Console\WindowsResponby,"Registry key, C2 registry key"
other,HKEY_CURRENT_USER\Console\WindowsDetect,"Registry key, C2 registry key"
